,subst,c,date,power,it,run
206,Pentan,101.5,17.12.2021,34.0,5.0,7
207,Pentan,101.5,17.12.2021,34.0,5.0,8
208,Pentan,101.5,17.12.2021,34.0,5.0,9
209,Pentan,101.5,17.12.2021,34.0,5.0,10
210,Pentan,101.5,17.12.2021,34.0,10.0,1
211,Pentan,101.5,17.12.2021,34.0,10.0,2
212,Pentan,101.5,17.12.2021,34.0,10.0,3
213,Pentan,101.5,17.12.2021,34.0,10.0,4
214,Pentan,101.5,17.12.2021,34.0,10.0,5
215,Pentan,101.5,17.12.2021,34.0,10.0,6
216,Pentan,101.5,17.12.2021,34.0,10.0,7
217,Pentan,101.5,17.12.2021,34.0,10.0,8
218,Pentan,101.5,17.12.2021,34.0,10.0,9
219,Pentan,101.5,17.12.2021,34.0,10.0,10
220,Pentan,19.8,05.01.2022,34.0,5.0,1
221,Pentan,19.8,05.01.2022,34.0,5.0,2
222,Pentan,19.8,05.01.2022,34.0,5.0,3
223,Pentan,19.8,05.01.2022,34.0,5.0,4
224,Pentan,19.8,05.01.2022,34.0,5.0,5
225,Pentan,19.8,05.01.2022,34.0,5.0,6
226,Pentan,19.8,05.01.2022,34.0,5.0,7
227,Pentan,19.8,05.01.2022,34.0,5.0,8
228,Pentan,19.8,05.01.2022,34.0,5.0,9
229,Pentan,19.8,05.01.2022,34.0,5.0,10
230,Pentan,19.8,05.01.2022,34.0,10.0,1
231,Pentan,19.8,05.01.2022,34.0,10.0,2
232,Pentan,19.8,05.01.2022,34.0,10.0,3
233,Pentan,19.8,05.01.2022,34.0,10.0,4
234,Pentan,19.8,05.01.2022,34.0,10.0,5
235,Pentan,19.8,05.01.2022,34.0,10.0,6
236,Pentan,19.8,05.01.2022,34.0,10.0,7
237,Pentan,19.8,05.01.2022,34.0,10.0,8
238,Pentan,19.8,05.01.2022,34.0,10.0,9
239,Pentan,19.8,05.01.2022,34.0,10.0,10
240,Pentan,48.3,05.01.2022,34.0,5.0,1
241,Pentan,48.3,05.01.2022,34.0,5.0,2
242,Pentan,48.3,05.01.2022,34.0,5.0,3
243,Pentan,48.3,05.01.2022,34.0,5.0,4
244,Pentan,48.3,05.01.2022,34.0,5.0,5
245,Pentan,48.3,05.01.2022,34.0,5.0,6
246,Pentan,48.3,05.01.2022,34.0,5.0,7
247,Pentan,48.3,05.01.2022,34.0,5.0,8
248,Pentan,48.3,05.01.2022,34.0,5.0,9
249,Pentan,48.3,05.01.2022,34.0,5.0,10
250,Pentan,48.3,05.01.2022,34.0,10.0,1
251,Pentan,48.3,05.01.2022,34.0,10.0,2
252,Pentan,48.3,05.01.2022,34.0,10.0,3
253,Pentan,48.3,05.01.2022,34.0,10.0,4
254,Pentan,48.3,05.01.2022,34.0,10.0,5
255,Pentan,48.3,05.01.2022,34.0,10.0,6
256,Pentan,48.3,05.01.2022,34.0,10.0,7
257,Pentan,48.3,05.01.2022,34.0,10.0,8
258,Pentan,48.3,05.01.2022,34.0,10.0,9
259,Pentan,48.3,05.01.2022,34.0,10.0,10
260,Pentan,49.7,05.01.2022,34.0,5.0,1
261,Pentan,49.7,05.01.2022,34.0,5.0,2
262,Pentan,49.7,05.01.2022,34.0,5.0,3
263,Pentan,49.7,05.01.2022,34.0,5.0,4
264,Pentan,49.7,05.01.2022,34.0,5.0,5
265,Pentan,49.7,05.01.2022,34.0,5.0,6
266,Pentan,49.7,05.01.2022,34.0,5.0,7
267,Pentan,49.7,05.01.2022,34.0,5.0,8
268,Pentan,49.7,05.01.2022,34.0,5.0,9
